# mhl Japan
# date,infection
27/01/2020,
28/01/2020,
29/01/2020,
30/01/2020,
31/01/2020,
01/02/2020,
02/02/2020,
03/02/2020,
04/02/2020,1
05/02/2020,
06/02/2020,
07/02/2020,
08/02/2020,
09/02/2020,
10/02/2020,
11/02/2020,
12/02/2020,
13/02/2020,
14/02/2020,
15/02/2020,
16/02/2020,
17/02/2020,
18/02/2020,
19/02/2020,
20/02/2020,
21/02/2020,
22/02/2020,
23/02/2020,
24/02/2020,
25/02/2020,
26/02/2020,1
27/02/2020,1
28/02/2020,8
29/02/2020,3
01/03/2020,
02/03/2020,5
03/03/2020,13
04/03/2020,30
05/03/2020,25
06/03/2020,59
07/03/2020,33
08/03/2020,46
09/03/2020,101
10/03/2020,98
11/03/2020,196
12/03/2020,151
13/03/2020,152
14/03/2020,71
15/03/2020,69
16/03/2020,83
17/03/2020,119
18/03/2020,145
19/03/2020,143
20/03/2020,180
21/03/2020,134
22/03/2020,117
23/03/2020,182
24/03/2020,230
25/03/2020,314
26/03/2020,280
27/03/2020,366
28/03/2020,300
29/03/2020,281
30/03/2020,415
31/03/2020,475
01/04/2020,486
02/04/2020,554
03/04/2020,601
04/04/2020,357
05/04/2020,340
06/04/2020,389
07/04/2020,738
08/04/2020,654
09/04/2020,645
10/04/2020,454
11/04/2020,395
12/04/2020,464
13/04/2020,437
14/04/2020,479
15/04/2020,604
16/04/2020,623
17/04/2020,688
18/04/2020,532
19/04/2020,389
20/04/2020,461
21/04/2020,708
22/04/2020,721
23/04/2020,747
24/04/2020,769
25/04/2020,474
26/04/2020,297
27/04/2020,541
28/04/2020,750
29/04/2020,774
30/04/2020,
